0,1,2,3,4,5,6,7,8,9,10,11
1491602258.362244,CgYJQU3wLzg04agfek,10.1.60.71,58056,10.1.60.70,80,2,POST,logserver.usma.bluenet,/elasticsearch/_msearch?timeout=0&ignore_unavailable=true&preference=1491601665472,http://logserver.usma.bluenet/app/kibana,Mozilla/5.0 (X11; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0
1491772898.177866,CCoH9i4IFKej216FWh,10.1.60.67,57142,10.1.60.70,80,2,GET,logserver.usma.bluenet,/bundles/commons.style.css?v=9732,http://logserver.usma.bluenet/app/kibana,Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0
1491772901.555389,CCoH9i4IFKej216FWh,10.1.60.67,57142,10.1.60.70,80,10,POST,logserver.usma.bluenet,/elasticsearch/_msearch?timeout=0&ignore_unavailable=true&preference=1491772888362,http://logserver.usma.bluenet/app/kibana,Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0
1491772922.521294,CCoH9i4IFKej216FWh,10.1.60.67,57142,10.1.60.70,80,11,POST,logserver.usma.bluenet,/elasticsearch/filebeat-*/_field_stats?level=indices,http://logserver.usma.bluenet/app/kibana,Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0
1491772929.294204,CiBg5I1zDumvVqSIW1,10.1.60.67,57148,10.1.60.70,80,3,GET,logserver.usma.bluenet,/bundles/src/ui/public/images/elk.ico,-,Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0
1491773017.935857,CCoH9i4IFKej216FWh,10.1.60.67,57142,10.1.60.70,80,25,POST,logserver.usma.bluenet,/elasticsearch/filebeat-*/_field_stats?level=indices,http://logserver.usma.bluenet/app/kibana,Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0
1491772940.542724,CCoH9i4IFKej216FWh,10.1.60.67,57142,10.1.60.70,80,15,POST,logserver.usma.bluenet,/elasticsearch/filebeat-*/_field_stats?level=indices,http://logserver.usma.bluenet/app/kibana,Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0
1491769337.587625,CkCosr2cvO6unzlcu5,10.1.60.66,43820,10.1.60.70,80,8,POST,logserver.usma.bluenet,/elasticsearch/filebeat-*/_field_stats?level=indices,http://logserver.usma.bluenet/app/kibana,Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0
1491772951.974542,CiBg5I1zDumvVqSIW1,10.1.60.67,57148,10.1.60.70,80,5,GET,logserver.usma.bluenet,/bundles/src/ui/public/images/elk.ico,-,Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0
1491772539.421522,Chp7uz4fVg5Rc8yFIg,10.1.60.66,44046,10.1.60.70,80,14,GET,logserver.usma.bluenet,/bundles/kibana.style.css?v=9732,http://logserver.usma.bluenet/app/kibana,Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0
